Genes,No benefits,Responder,TIDE,IFNG,MSI Expr Sig,Merck18,CD274,CD8,CTL.flag,Dysfunction,Exclusion,MDSC,CAF,TAM M2
TCGA-2J-AABH-01,False,True,-0.93,-0.39,0.42,-0.49,-0.68,-0.8,False,0.19,-0.93,-0.03,-0.12,0.01
TCGA-HZ-8638-01,False,True,-0.94,1.59,0.9,0.44,0.62,0.49,False,-0.93,-0.94,0.01,-0.14,-0.02
TCGA-FB-A4P6-01,False,True,-0.95,-0.45,0.29,0.1,-0.01,1.01,False,0.41,-0.95,-0.13,-0.02,0.01
TCGA-US-A779-01,False,True,-0.96,-1.44,0.78,-1.16,-1.13,-1.09,False,0.02,-0.96,0.04,-0.26,0.06
TCGA-HZ-A49I-01,False,True,-0.97,-0.15,0.5,0.08,0.29,-0.22,False,1.05,-0.97,-0.09,-0.01,-0.05
TCGA-2L-AAQJ-01,False,True,-1.02,0.21,0.56,-0.01,-0.6,-0.04,False,0.27,-1.02,-0.01,-0.14,-0.01
TCGA-2J-AAB4-01,False,True,-1.09,0.9,0.46,0.36,0.45,0.37,False,0.41,-1.09,0,-0.09,-0.08
TCGA-2J-AABV-01,False,True,-1.15,-0.63,0.96,-0.11,0.1,0.85,False,0.43,-1.15,-0.04,-0.2,0.06
TCGA-HV-A5A5-01,False,True,-1.16,0.36,0.35,0.17,0.2,-0.66,False,0.75,-1.16,-0.1,-0.05,-0.02
TCGA-IB-AAUU-01,False,True,-1.21,-0.42,0.34,-0.2,0.06,-0.6,False,0.22,-1.21,-0.03,-0.12,-0.03
TCGA-HZ-7924-01,False,True,-1.22,-0.63,0.86,-0.12,-0.17,-0.11,False,-0.48,-1.22,-0.05,-0.18,0.04
TCGA-S4-A8RM-01,False,True,-1.31,-0.47,0.56,-0.24,-0.44,0.44,False,-0.58,-1.31,-0.03,-0.19,0.03
TCGA-LB-A9Q5-01,False,True,-1.32,0.18,0.79,0.1,0.21,0.24,False,0.65,-1.32,-0.12,-0.09,0.01
TCGA-3A-A9I9-01,False,True,-1.32,-0.26,0.62,-0.16,-0.45,0.21,False,0.78,-1.32,-0.08,-0.14,0.02
TCGA-IB-AAUM-01,False,True,-1.4,-0.32,0.68,-0.08,0.11,0.57,False,0.34,-1.4,-0.12,-0.16,0.06
TCGA-F2-6880-01,False,True,-1.46,-0.91,0.95,-0.72,0.3,0.18,False,0.05,-1.46,-0.08,-0.19,0.05
TCGA-2J-AABK-01,False,True,-1.5,0,0.69,-0.39,-0.06,-0.07,False,-0.52,-1.5,0.03,-0.29,0.02
TCGA-US-A77G-01,False,True,-1.66,-0.75,0.8,-0.74,-0.88,-1.06,False,-0.4,-1.66,0.01,-0.28,0.01
TCGA-IB-A5SP-01,False,True,-1.69,-0.37,0.82,-0.41,-0.19,-0.77,False,0.26,-1.69,-0.01,-0.26,0.01
TCGA-HZ-A49G-01,False,True,-1.69,0.19,0.36,0.44,0.41,0.73,False,0.86,-1.69,-0.19,0,-0.05
TCGA-FB-A78T-01,False,True,-2.05,0.02,0.66,-0.09,-0.36,-0.34,False,0.07,-2.05,-0.06,-0.24,-0.01
TCGA-2J-AABF-01,False,True,-2.22,1.18,0.14,0.55,0.19,0.48,False,0.8,-2.22,-0.12,-0.13,-0.08
TCGA-FB-AAPY-01,False,True,-2.22,0.67,0.42,0.64,0.02,0.71,False,1.78,-2.22,-0.15,-0.2,0.01
